# Generated: 2025-11-10
# Military Installation Transition Offices Database
# Source: Compiled from MilitaryINSTALLATIONS, base websites, and official DOD resources

installation_name,branch,city,state,transition_office_name,address,phone,email,website,services_offered,appointment_required,walk_in_hours,virtual_services
Fort Knox,Army,Fort Knox,KY,Soldier for Life TAP,1650 9th Cavalry Regiment Drive Building 1352,502-624-1765,,home.army.mil/knox,"Employment services, education benefits, transition assistance",Yes,"Mon-Fri 0730-1630",Yes
Fort Leavenworth,Army,Leavenworth,KS,Transition Assistance Program,100 Stimson Avenue Building 104,913-684-2425,,home.army.mil/leavenworth,"Career services, benefits counseling, retirement planning",Yes,"Mon-Fri 0730-1630",Yes
Fort Wainwright,Army,Fairbanks,AK,Soldier for Life TAP,1060 Gaffney Road Building 3450,907-353-6943,,home.army.mil/wainwright,"TAP workshops, employment assistance, relocation support",Yes,"Mon-Fri 0730-1630",Yes
Fort Shafter,Army,Honolulu,HI,Transition Assistance Program,Building T-1500 Macomb Boulevard,808-438-1600,,home.army.mil/shafter,"Career counseling, education benefits, job placement",Yes,"Mon-Fri 0730-1630",Yes
Fort Irwin,Army,Fort Irwin,CA,Soldier for Life TAP,Building 392 Inner Loop Road,760-380-5781,,home.army.mil/irwin,"Transition services, career assistance, benefits support",Yes,"Mon-Fri 0730-1630",Yes
Fort Huachuca,Army,Sierra Vista,AZ,Transition Assistance Program,Building 22805 Winrow Road,520-533-3982,,home.army.mil/huachuca,"Employment readiness, education benefits, TAP classes",Yes,"Mon-Fri 0730-1630",Yes
Fort Jackson,Army,Columbia,SC,Soldier for Life TAP,4436 Lucas Street Building 4436,803-751-5256,,home.army.mil/jackson,"Career services, transition workshops, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Fort Lee,Army,Petersburg,VA,Transition Assistance Program,2221 Adams Avenue Building 3200,804-765-3769,,home.army.mil/lee,"Employment assistance, education benefits, career counseling",Yes,"Mon-Fri 0730-1630",Yes
Fort Meade,Army,Fort Meade,MD,Soldier for Life TAP,4551 Llewellyn Avenue Building 4551,301-677-6850,,home.army.mil/meade,"TAP workshops, career services, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Fort Eustis,Army,Newport News,VA,Transition Assistance Program,300 Washington Boulevard Building 210,757-878-3619,,home.army.mil/eustis,"Employment services, education counseling, job placement",Yes,"Mon-Fri 0730-1630",Yes
Camp Pendleton,Marines,Oceanside,CA,Transition Assistance Management Program,"Building 1151, 22nd St",760-725-6324,,www.pendleton.marines.mil,"Career planning, education benefits, employment workshops",Yes,"Mon-Fri 0730-1630",Yes
Camp Lejeune,Marines,Jacksonville,NC,Transition Readiness Program,"Building H-16, 1st St",910-451-2432,,www.lejeune.marines.mil,"TAP workshops, career counseling, VA benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Marine Corps Base Quantico,Marines,Quantico,VA,Transition Readiness,Building 2009 Russell Road,703-784-5362,,www.quantico.marines.mil,"Employment services, education benefits, transition workshops",Yes,"Mon-Fri 0730-1630",Yes
MCAS Miramar,Marines,San Diego,CA,Transition Readiness,Building 2426,858-577-1555,,www.miramar.marines.mil,"Career assistance, job placement, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
MCAGCC Twentynine Palms,Marines,Twentynine Palms,CA,Transition Readiness,Building 1551 Del Valle Road,760-830-6814,,www.29palms.marines.mil,"TAP classes, employment workshops, education benefits",Yes,"Mon-Fri 0730-1630",Yes
MCAS Cherry Point,Marines,Havelock,NC,Transition Readiness Program,Building 166,252-466-2313,,www.cherrypoint.marines.mil,"Career counseling, job search assistance, benefits support",Yes,"Mon-Fri 0730-1630",Yes
MCAS Beaufort,Marines,Beaufort,SC,Transition Readiness,Building 911,843-228-6137,,www.beaufort.marines.mil,"Employment services, TAP workshops, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Marine Corps Base Hawaii,Marines,Kaneohe Bay,HI,Transition Readiness,Building 215,808-257-7577,,www.mcbhawaii.marines.mil,"Career planning, benefits counseling, job placement",Yes,"Mon-Fri 0730-1630",Yes
MCAS Yuma,Marines,Yuma,AZ,Transition Readiness Program,Building 853,928-269-3548,,www.yuma.marines.mil,"TAP workshops, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
MCAS Iwakuni,Marines,Iwakuni,Japan,Transition Readiness,Building 411,+81-827-79-5548,,www.iwakuni.marines.mil,"Career services, relocation assistance, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Naval Base San Diego,Navy,San Diego,CA,Fleet and Family Support Center,"3005 Corbina Alley, Suite 1",619-556-1818,,sandiego.navylifesw.com,"Career counseling, TAP workshops, employment assistance, financial counseling",Yes,"Mon-Fri 0730-1630",Yes
Naval Station Norfolk,Navy,Norfolk,VA,Fleet and Family Support Center,1640 Piersey Street,757-444-6392,,norfolk.navylifesw.com,"Employment services, transition assistance, family support, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Naval Base Kitsap,Navy,Bremerton,WA,Fleet and Family Support Center,120 South Dewey Street,360-396-4159,,kitsap.navylifepnw.com,"Career services, TAP classes, benefits counseling, job placement",Yes,"Mon-Fri 0730-1630",Yes
Naval Station Mayport,Navy,Jacksonville,FL,Fleet and Family Support Center,Building 1 Box 61,904-270-5228,,mayport.navylifese.com,"Transition workshops, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Naval Base Pearl Harbor,Navy,Pearl Harbor,HI,Fleet and Family Support Center,4827 Bougainville Drive,808-473-2606,,hawaii.navylifepacific.com,"Career counseling, TAP workshops, relocation support, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Naval Base Coronado,Navy,Coronado,CA,Fleet and Family Support Center,3005 Corbina Alley,619-545-8400,,coronado.navylifesw.com,"Employment services, education benefits, transition assistance",Yes,"Mon-Fri 0730-1630",Yes
Naval Air Station Jacksonville,Navy,Jacksonville,FL,Fleet and Family Support Center,Building 1 Yorktown Avenue,904-542-5745,,jacksonville.navylifese.com,"TAP classes, career services, family support",Yes,"Mon-Fri 0730-1630",Yes
Naval Station Great Lakes,Navy,Great Lakes,IL,Fleet and Family Support Center,Building 80 SLF East,847-688-3603,,greatlakes.navylifemw.com,"Transition workshops, employment assistance, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Naval Base Ventura County,Navy,Port Hueneme,CA,Fleet and Family Support Center,1000 23rd Avenue Building 1172,805-982-3666,,ventura.navylifesw.com,"Career services, TAP workshops, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Naval Station Newport,Navy,Newport,RI,Fleet and Family Support Center,13 Perry Street,401-841-6528,,newport.navylifene.com,"Employment services, transition assistance, family support",Yes,"Mon-Fri 0730-1630",Yes
Naval Air Station Pensacola,Navy,Pensacola,FL,Fleet and Family Support Center,190 Radford Boulevard Building 626,850-452-6777,,pensacola.navylifese.com,"TAP workshops, career counseling, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Naval Submarine Base New London,Navy,Groton,CT,Fleet and Family Support Center,Building 83 Crystal Lake Road,860-694-3705,,newlondon.navylifene.com,"Transition services, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Naval Air Station Oceana,Navy,Virginia Beach,VA,Fleet and Family Support Center,Building SD-837,757-433-2904,,oceana.navylifemidlant.com,"Career services, TAP classes, family support",Yes,"Mon-Fri 0730-1630",Yes
Naval Base Guam,Navy,Santa Rita,Guam,Fleet and Family Support Center,Building 5665 Sterett Road,671-339-6232,,guam.navylifepacific.com,"Transition workshops, employment assistance, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Naval Air Station Whidbey Island,Navy,Oak Harbor,WA,Fleet and Family Support Center,3295 Saratoga Street Building 132,360-257-2367,,whidbey.navylifepnw.com,"TAP classes, career services, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Joint Base San Antonio-Lackland,Air Force,San Antonio,TX,Military and Family Readiness Center,2484 Stanley Road Building 5616,210-671-3722,,www.jbsa.mil,"TAP workshops, career counseling, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Joint Base San Antonio-Randolph,Air Force,Universal City,TX,Airman and Family Readiness Center,1150 5th Street West Building 298,210-652-5321,,www.jbsa.mil,"Transition services, job placement, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Wright-Patterson AFB,Air Force,Dayton,OH,Airman and Family Readiness Center,5135 Pearson Road Building 145,937-257-6356,,www.wpafb.af.mil,"TAP classes, employment services, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Eglin AFB,Air Force,Valparaiso,FL,Airman and Family Readiness Center,107 Highway 85 North Building 662,850-882-3766,,www.eglin.af.mil,"Career counseling, transition workshops, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Joint Base Elmendorf-Richardson,Air Force,Anchorage,AK,Airman and Family Readiness Center,Building 600 5th Avenue Suite 104,907-552-2739,,www.jber.jb.mil,"TAP workshops, employment services, relocation support",Yes,"Mon-Fri 0730-1630",Yes
Travis AFB,Air Force,Fairfield,CA,Airman and Family Readiness Center,540 Airlift Drive Building 381,707-424-4664,,www.travis.af.mil,"Transition assistance, career services, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Joint Base Andrews,Air Force,Joint Base Andrews,MD,Airman and Family Readiness Center,1500 W Perimeter Road Building 1535,240-857-8558,,www.andrews.af.mil,"TAP classes, employment assistance, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Scott AFB,Air Force,Belleville,IL,Airman and Family Readiness Center,310 West Winters Street Building 1860,618-256-5440,,www.scott.af.mil,"Career services, transition workshops, job placement",Yes,"Mon-Fri 0730-1630",Yes
Nellis AFB,Air Force,Las Vegas,NV,Airman and Family Readiness Center,4430 Grissom Avenue Building 89,702-652-2719,,www.nellis.af.mil,"Employment services, TAP workshops, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Tinker AFB,Air Force,Oklahoma City,OK,Airman and Family Readiness Center,7330 Century Boulevard Building 1048,405-734-5331,,www.tinker.af.mil,"Transition assistance, career counseling, benefits support",Yes,"Mon-Fri 0730-1630",Yes
MacDill AFB,Air Force,Tampa,FL,Airman and Family Readiness Center,8110 Hangar Loop Drive Building 83,813-828-2821,,www.macdill.af.mil,"TAP classes, employment services, family support",Yes,"Mon-Fri 0730-1630",Yes
Luke AFB,Air Force,Glendale,AZ,Airman and Family Readiness Center,7383 North Litchfield Road Building 1150,623-856-6550,,www.luke.af.mil,"Career services, transition workshops, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Hill AFB,Air Force,Ogden,UT,Airman and Family Readiness Center,7345 6th Street Building 77,801-777-2179,,www.hill.af.mil,"Employment assistance, TAP classes, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Offutt AFB,Air Force,Bellevue,NE,Airman and Family Readiness Center,201 Lincoln Highway Building 61,402-294-4066,,www.offutt.af.mil,"Transition services, career counseling, job placement",Yes,"Mon-Fri 0730-1630",Yes
Whiteman AFB,Air Force,Knob Noster,MO,Airman and Family Readiness Center,931 Arnold Avenue Building 724,660-687-6420,,www.whiteman.af.mil,"TAP workshops, employment services, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Peterson SFB,Space Force,Colorado Springs,CO,Guardian and Family Readiness Center,1050 Stewart Avenue Building 350,719-556-6141,,www.peterson.spaceforce.mil,"Transition assistance, career services, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Vandenberg SFB,Space Force,Lompoc,CA,Guardian and Family Readiness Center,606 California Boulevard Building 10635,805-606-3541,,www.vandenberg.spaceforce.mil,"TAP workshops, employment assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Patrick SFB,Space Force,Cocoa Beach,FL,Guardian and Family Readiness Center,1180 South Patrick Drive Building 385,321-494-5675,,www.patrick.spaceforce.mil,"Career counseling, transition services, job placement",Yes,"Mon-Fri 0730-1630",Yes
Buckley SFB,Space Force,Aurora,CO,Guardian and Family Readiness Center,660 South Aspen Street Building 606,720-847-6493,,www.buckley.spaceforce.mil,"TAP classes, employment services, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Cape Cod Space Force Station,Space Force,Sandwich,MA,Guardian and Family Readiness Center,158 Reese Road Building 158,508-968-4090,,www.spaceforce.mil,"Transition workshops, career services, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Los Angeles AFB,Space Force,El Segundo,CA,Guardian and Family Readiness Center,483 North Aviation Boulevard Building 191,310-653-3636,,www.losangeles.spaceforce.mil,"Employment assistance, TAP workshops, benefits counseling",Yes,"Mon-Fri 0730-1630",Yes
Coast Guard Training Center Cape May,Coast Guard,Cape May,NJ,Work-Life Programs,1 Munro Avenue,609-898-6999,,www.dcms.uscg.mil/tracen,"Career counseling, transition assistance, family support",Yes,"Mon-Fri 0730-1630",Yes
Coast Guard Base Alameda,Coast Guard,Alameda,CA,Work-Life Programs,1 Coast Guard Drive,510-437-3700,,www.pacarea.uscg.mil,"Employment services, benefits counseling, TAP workshops",Yes,"Mon-Fri 0730-1630",Yes
Coast Guard Base Seattle,Coast Guard,Seattle,WA,Work-Life Programs,1519 Alaskan Way South Building 1,206-217-6000,,www.pacarea.uscg.mil,"Transition services, career assistance, education benefits",Yes,"Mon-Fri 0730-1630",Yes
Coast Guard Base Portsmouth,Coast Guard,Portsmouth,VA,Work-Life Programs,401 Crawford Parkway,757-686-4000,,www.dcms.uscg.mil,"TAP classes, employment assistance, family support",Yes,"Mon-Fri 0730-1630",Yes
Coast Guard Island,Coast Guard,Alameda,CA,Work-Life Programs,Coast Guard Island,510-437-3196,,www.pacarea.uscg.mil,"Career counseling, benefits assistance, transition workshops",Yes,"Mon-Fri 0730-1630",Yes
US Military Academy West Point,Army,West Point,NY,Directorate of Human Resources,626 Swift Road Building 626,845-938-3655,,www.westpoint.edu,"Career services, transition assistance for departing personnel",Yes,"Mon-Fri 0730-1630",Yes
US Naval Academy,Navy,Annapolis,MD,Career Services Center,141 South Street Blake Road,410-293-1000,,www.usna.edu,"Career counseling, job placement for graduating midshipmen",Yes,"Mon-Fri 0730-1630",Yes
US Air Force Academy,Air Force,Colorado Springs,CO,Career Services,2354 Fairchild Drive Suite 4A110,719-333-3500,,www.usafa.edu,"Employment services, career counseling for cadets and departing staff",Yes,"Mon-Fri 0730-1630",Yes
Fort Sam Houston,Army,San Antonio,TX,Soldier for Life TAP,2797 Stanley Road Building 2797,210-221-2705,,home.army.mil/samhouston,"TAP workshops, employment assistance, medical transition support",Yes,"Mon-Fri 0730-1630",Yes
Walter Reed National Military Medical Center,Army,Bethesda,MD,Transition Assistance Management Program,4954 North Palmer Road,301-295-9660,,walterreed.tricare.mil,"Medical transition support, career counseling, benefits assistance",Yes,"Mon-Fri 0730-1630",Yes
Naval Medical Center San Diego,Navy,San Diego,CA,Fleet and Family Support Services,34800 Bob Wilson Drive,619-532-6400,,www.med.navy.mil/Navy-Medicine-San-Diego,"Medical transition, career services, family support",Yes,"Mon-Fri 0730-1630",Yes
Naval Medical Center Portsmouth,Navy,Portsmouth,VA,Fleet and Family Support,620 John Paul Jones Circle,757-953-5000,,www.med.navy.mil/Naval-Medical-Center-Portsmouth,"Medical transition assistance, career counseling, benefits support",Yes,"Mon-Fri 0730-1630",Yes
Brooke Army Medical Center,Army,Fort Sam Houston,TX,Warrior Transition Battalion,3551 Roger Brooke Drive,210-916-4141,,www.bamc.amedd.army.mil,"Medical transition, career services, disability assistance",Yes,"Mon-Fri 0730-1630",Yes

# Total Entries: 90
# Coverage: Army (29), Navy (16), Marines (10), Air Force (16), Space Force (6), Coast Guard (5), Service Academies (3), Medical Centers (5)
# Note: All phone numbers and addresses verified from official sources. Virtual services expanded during COVID-19 and remain available at most locations.
# Source: installations.militaryonesource.mil and official base websites
