# Generated: 2025-11-10
# VSO Contacts by State Database
# Source: Compiled from VFW, American Legion, DAV, AMVETS, VVA, and state veteran affairs offices

state,state_abbr,organization_name,office_type,address,city,zip_code,phone,email,website,services_offered,counties_served
Alabama,AL,Alabama Department of Veterans Affairs,State,PO Box 1509,Montgomery,36102-1509,334-242-5077,,va.alabama.gov,"Benefits counseling, claims assistance, state benefits",All counties
Hawaii,HI,VFW Department of Hawaii,State,,,,,,,www.vfwhawaii.org,"Veterans advocacy, benefits counseling",All counties
Idaho,ID,Idaho Division of Veterans Services,State,351 Collins Road,Boise,83702,208-780-1300,,veterans.idaho.gov,"Benefits counseling, claims assistance, education",All counties
Idaho,ID,VFW Department of Idaho,State,,,,,,,www.vfwidaho.org,"Veteran support, advocacy services",All counties
Illinois,IL,Illinois Department of Veterans' Affairs,State,833 S Spring Street,Springfield,62705,217-782-6641,,,Benefits assistance, claims support, state programs,All counties
Illinois,IL,American Legion Department of Illinois,State,2122 W Taylor Street Room 106,Chicago,60612,312-980-4266,,www.illegion.org,"Veterans services, benefits counseling",Cook County area
Illinois,IL,VFW Department of Illinois,State,,,,,,,www.vfwil.org,"Veterans advocacy, community support",All counties
Illinois,IL,DAV Department of Illinois,State,,,,,,,www.davillinois.com,"Free disability claims assistance",All counties
Indiana,IN,Indiana Department of Veterans Affairs,State,302 W Washington St Room E-120,Indianapolis,46204,317-232-3910,,in.gov/dva,"Benefits counseling, claims assistance",All counties
Indiana,IN,VFW Department of Indiana,State,,,,,,,vfwin.org,"Veterans support, advocacy",All counties
Indiana,IN,American Legion Department of Indiana,State,777 N Meridian St,Indianapolis,46204,317-630-1264,,www.indianalegion.org,"Veterans services, community programs",All counties
Iowa,IA,Iowa Department of Veterans Affairs,State,7105 NW 70th Avenue Camp Dodge Bldg 3465,Johnston,50131,515-242-5331,,va.iowa.gov,"Benefits assistance, state programs, claims support",All counties
Iowa,IA,VFW Department of Iowa,State,,,,,,,www.vfwiowa.org,"Veterans advocacy, benefits counseling",All counties
Kansas,KS,Kansas Commission on Veterans Affairs,State,700 SW Jackson St Suite 701,Topeka,66603,785-296-3976,,kcva.ks.gov,"Benefits counseling, claims assistance",All counties
Kansas,KS,VFW Department of Kansas,State,,,,,,,www.vfwks.org,"Veteran support, community programs",All counties
Kansas,KS,American Legion Department of Kansas,State,1314 SW Topeka Blvd,Topeka,66612,785-232-9513,,www.ksamlegion.org,"Veterans services, advocacy",All counties
Kentucky,KY,Kentucky Department of Veterans Affairs,State,1111 Louisville Road,Frankfort,40601,502-564-9203,,veterans.ky.gov,"Benefits assistance, state programs, claims support",All counties
Kentucky,KY,VFW Department of Kentucky,State,,,,,,,www.vfwky.org,"Veterans advocacy, benefits counseling",All counties
Louisiana,LA,Louisiana Department of Veterans Affairs,State,PO Box 94095 Capitol Station,Baton Rouge,70804,225-219-5000,,vetaffairs.la.gov,"Benefits counseling, claims assistance, state programs",All counties
Louisiana,LA,VFW Department of Louisiana,State,,,,,,,www.vfwla.org,"Veteran support, community programs",All counties
Maine,ME,Maine Bureau of Veterans Services,State,117 State House Station,Augusta,04333,207-430-6035,,maine.gov/dvem/bvs,"Benefits assistance, claims support",All counties
Maine,ME,VFW Department of Maine,State,,,,,,,www.mainevfw.org,"Veterans advocacy, benefits counseling",All counties
Maryland,MD,Maryland Department of Veterans Affairs,State,The Wineland Building 16 Francis Street,Annapolis,21401,410-260-3838,,veterans.maryland.gov,"Benefits counseling, claims assistance, state programs",All counties
Maryland,MD,VFW Department of Maryland,State,,,,,,,www.vfwmd.org,"Veteran support, advocacy",All counties
Maryland,MD,DAV Department of Maryland,State,,,,,,,www.davofmd.org,"Free disability claims assistance",All counties
Massachusetts,MA,Massachusetts Department of Veterans' Services,State,600 Washington Street 1100,Boston,02111,617-210-5480,,mass.gov/veterans,"Benefits assistance, state programs, claims support",All counties
Massachusetts,MA,DAV Department of Massachusetts,State,State House Room 546,Boston,02133,617-727-2974,,davma.org,"Free claims assistance for disabled veterans",All counties
Massachusetts,MA,VFW Department of Massachusetts,State,,,,,,,www.vfwmass.org,"Veterans advocacy, community programs",All counties
Massachusetts,MA,American Legion Department of Massachusetts,State,546 State House,Boston,02133,617-727-2966,,www.masslegion.org,"Veterans services, benefits counseling",All counties
Michigan,MI,Michigan Veterans Affairs Agency,State,3436 N Martin Luther King Jr Blvd,Lansing,48906,517-284-5300,,michigan.gov/mvaa,"Benefits counseling, claims assistance, state programs",All counties
Michigan,MI,American Legion Department of Michigan,State,212 N Verlinden Avenue,Lansing,48915,517-371-4720,,michiganlegion.org,"Veterans services, advocacy",All counties
Michigan,MI,VFW Department of Michigan,State,,,,,,,www.vfwmi.org,"Veteran support, benefits counseling",All counties
Michigan,MI,DAV Department of Michigan,State,,,,,,,www.mi-dav.org,"Free disability claims assistance",All counties
Minnesota,MN,Minnesota Department of Veterans Affairs,State,20 W 12th Street Room 300A,St. Paul,55155,651-291-1800,,mn.gov/mdva,"Benefits assistance, state programs, claims support",All counties
Minnesota,MN,DAV Department of Minnesota,State,20 W 12th Street Room 300A,St. Paul,55155,651-291-1212,,davmn.org,"Free claims assistance for disabled veterans",All counties
Minnesota,MN,American Legion Department of Minnesota,State,20 W 12th Street Room 300A,St Paul,55155,651-291-1800,,mnlegion.org,"Veterans services, community programs",All counties
Minnesota,MN,VFW Department of Minnesota,State,,,,,,,www.vfwmn.org,"Veterans advocacy, benefits counseling",All counties
Mississippi,MS,Mississippi Department of Veterans Affairs,State,PO Box 5947,Pearl,39288,601-576-4850,,vab.ms.gov,"Benefits counseling, claims assistance",All counties
Mississippi,MS,VFW Department of Mississippi,State,,,,,,,www.vfwms.org,"Veteran support, advocacy",All counties
Missouri,MO,Missouri Veterans Commission,State,205 Jefferson Street 12th Floor,Jefferson City,65101,573-751-3779,,mvc.dps.mo.gov,"Benefits assistance, claims support, state programs",All counties
Missouri,MO,VFW Department of Missouri,State,,,,,,,www.vfwmo.org,"Veterans advocacy, community programs",All counties
Montana,MT,Montana Veterans Affairs Division,State,PO Box 5715,Helena,59604,406-324-3740,,montanadma.org/veterans-affairs,"Benefits counseling, claims assistance",All counties
Montana,MT,VFW Department of Montana,State,,,,,,,www.vfwmt.org,"Veteran support, benefits counseling",All counties
Nebraska,NE,Nebraska Department of Veterans' Affairs,State,PO Box 95083,Lincoln,68509,402-471-2458,,veterans.nebraska.gov,"Benefits assistance, state programs, claims support",All counties
Nebraska,NE,VFW Department of Nebraska,State,,,,,,,www.vfwne.org,"Veterans advocacy, community programs",All counties
Nevada,NV,Nevada Department of Veterans Services,State,6880 S McCarran Blvd Bldg C Suite 101,Reno,89509,775-688-1653,,veterans.nv.gov,"Benefits counseling, claims assistance, state programs",All counties
Nevada,NV,VFW Department of Nevada,State,,,,,,,www.nvvfw.org,"Veteran support, advocacy",All counties
New Hampshire,NH,New Hampshire Department of Military Affairs and Veterans Services,State,1 Airport Road Suite 204,Concord,03301,603-624-9230,,nh.gov/nhveterans,"Benefits assistance, claims support",All counties
New Hampshire,NH,VFW Department of New Hampshire,State,,,,,,,www.nhvfw.org,"Veterans advocacy, benefits counseling",All counties
New Jersey,NJ,New Jersey Department of Military and Veterans Affairs,State,PO Box 340 DVNJ-VBP,Trenton,08625-0508,609-530-6969,,nj.gov/military/veterans,"Benefits counseling, claims assistance, state programs",All counties
New Jersey,NJ,VFW Department of New Jersey,State,,,,,,,www.vfwnj.org,"Veteran support, community programs",All counties
New Mexico,NM,New Mexico Department of Veterans Services,State,407 Galisteo St Room 142,Santa Fe,87501,505-827-6300,,nmdvs.org,"Benefits assistance, state programs, claims support",All counties
New Mexico,NM,DAV Department of New Mexico,State,,,,,,,www.davnewmexico.org,"Free disability claims assistance",All counties
New Mexico,NM,VFW Department of New Mexico,State,,,,,,,www.vfwnm.org,"Veterans advocacy, benefits counseling",All counties
New York,NY,New York Division of Veterans' Services,State,5 Empire State Plaza Suite 2836,Albany,12223,518-474-6114,,veterans.ny.gov,"Benefits counseling, claims assistance, state programs",All counties
New York,NY,DAV Department of New York,State,,,,,,,www.davny.org,"Free claims assistance for disabled veterans",All counties
New York,NY,American Legion Department of New York,State,112 State Street Suite 1300,Albany,12207,518-463-2215,,www.nylegion.org,"Veterans services, advocacy",All counties
New York,NY,VFW Department of New York,State,,,,,,,www.vfwny.com,"Veteran support, community programs",All counties
North Carolina,NC,North Carolina Department of Military and Veterans Affairs,State,1315 Mail Service Center,Raleigh,27699,919-733-3851,,milvets.nc.gov,"Benefits assistance, state programs, claims support",All counties
North Carolina,NC,VFW Department of North Carolina,State,,,,,,,www.vfwnc.org,"Veterans advocacy, benefits counseling",All counties
North Dakota,ND,North Dakota Department of Veterans' Affairs,State,4201 38th Street SW Suite 104,Fargo,58104,701-239-7165,,veterans.nd.gov,"Benefits counseling, claims assistance",All counties
North Dakota,ND,VFW Department of North Dakota,State,,,,,,,www.vfwnd.org,"Veteran support, advocacy",All counties
Ohio,OH,Ohio Department of Veterans Services,State,77 S High Street 7th Floor,Columbus,43215,614-644-0898,,dvs.ohio.gov,"Benefits assistance, state programs, claims support",All counties
Ohio,OH,DAV Department of Ohio,State,35 E Chestnut Street Suite 503,Columbus,43215,614-221-3582,,ohiodav.org,"Free claims assistance for disabled veterans",All counties
Ohio,OH,VFW Department of Ohio,State,,,,,,,www.vfwohio.org,"Veterans advocacy, community programs",All counties
Ohio,OH,American Legion Department of Ohio,State,60 Big Run Road,Delaware,43015,740-362-7478,,www.ohiolegion.com,"Veterans services, benefits counseling",All counties
Oklahoma,OK,Oklahoma Department of Veterans Affairs,State,2311 N Central Avenue,Oklahoma City,73105,405-521-3684,,ok.gov/veterans,"Benefits counseling, claims assistance, state programs",All counties
Oklahoma,OK,VFW Department of Oklahoma,State,,,,,,,www.vfwok.org,"Veteran support, advocacy",All counties
Oregon,OR,Oregon Department of Veterans' Affairs,State,700 Summer Street NE,Salem,97301,503-373-2085,,oregon.gov/odva,"Benefits assistance, state programs, claims support",All counties
Oregon,OR,VFW Department of Oregon,State,,,,,,,www.vfworegon.org,"Veterans advocacy, benefits counseling",All counties
Pennsylvania,PA,Pennsylvania Department of Military and Veterans Affairs,State,Fort Indiantown Gap Bldg S-0-47,Annville,17003,717-861-8503,,dmva.pa.gov,"Benefits counseling, claims assistance, state programs",All counties
Pennsylvania,PA,VFW Department of Pennsylvania,State,4002 Fenton Ave,Harrisburg,17109,717-234-7927,,vfwpa.org,"Veteran support, advocacy",All counties
Pennsylvania,PA,American Legion Department of Pennsylvania,State,PO Box 2324,Harrisburg,17105,717-730-9100,,www.pa-legion.com,"Veterans services, community programs",All counties
Rhode Island,RI,Rhode Island Division of Veterans' Services,State,480 Metacom Avenue,Bristol,02809,401-921-2119,,vets.ri.gov,"Benefits assistance, state programs, claims support",All counties
Rhode Island,RI,VFW Department of Rhode Island,State,One Capitol Hill,Providence,02908,401-574-8161,,vfwri.org,"Veterans advocacy, benefits counseling",All counties
South Carolina,SC,South Carolina Department of Veterans' Affairs,State,1205 Pendleton Street Room 226,Columbia,29201,803-734-0200,,scdva.sc.gov,"Benefits counseling, claims assistance, state programs",All counties
South Carolina,SC,VFW Department of South Carolina,State,,,,,,,www.vfwsc.org,"Veteran support, advocacy",All counties
South Dakota,SD,South Dakota Department of Veterans Affairs,State,425 E Capitol Avenue,Pierre,57501,605-773-3269,,vetaffairs.sd.gov,"Benefits assistance, state programs, claims support",All counties
South Dakota,SD,VFW Department of South Dakota,State,,,,,,,www.vfwsd.org,"Veterans advocacy, community programs",All counties
Tennessee,TN,Tennessee Department of Veterans Services,State,312 Rosa L Parks Ave 24th Floor,Nashville,37243,615-741-2345,,tn.gov/veteran,"Benefits counseling, claims assistance, state programs",All counties
Tennessee,TN,DAV Department of Tennessee,State,,,,,,,www.davtn.org,"Free disability claims assistance",All counties
Tennessee,TN,VFW Department of Tennessee,State,,,,,,,www.vfwtn.org,"Veteran support, advocacy",All counties
Texas,TX,Texas Veterans Commission,State,1 Veterans Plaza 701 Clay Ave,Waco,76799,800-252-8387,,tvc.texas.gov,"Benefits assistance, state programs, claims support, employment",All counties
Texas,TX,VFW Department of Texas,State,8503 N IH 35,Austin,78753,512-834-8535,support@texasvfw.org,www.texasvfw.org,"Veterans advocacy, community programs",All counties
Texas,TX,DAV Department of Texas,State,,,,,,,davtexas.org,"Free claims assistance for disabled veterans",All counties
Texas,TX,American Legion Department of Texas,State,PO Box 140527,Austin,78714,512-472-4138,,txlegion.org,"Veterans services, benefits counseling",All counties
Utah,UT,Utah Department of Veterans and Military Affairs,State,550 Foothill Drive Suite 240,Salt Lake City,84108,801-326-2372,,veterans.utah.gov,"Benefits counseling, claims assistance, state programs",All counties
Utah,UT,VFW Department of Utah,State,,,,,,,www.vfwutah.org,"Veteran support, advocacy",All counties
Vermont,VT,Vermont Office of Veterans Affairs,State,118 State Street,Montpelier,05602,802-828-3379,,veterans.vermont.gov,"Benefits assistance, state programs, claims support",All counties
Vermont,VT,VFW Department of Vermont,State,,,,,,,www.vfwvt.org,"Veterans advocacy, benefits counseling",All counties
Virginia,VA,Virginia Department of Veterans Services,State,101 N 14th St 17th Floor,Richmond,23219,804-786-0286,,dvs.virginia.gov,"Benefits counseling, claims assistance, state programs",All counties
Virginia,VA,VFW Department of Virginia,State,403 Lee Jackson HWY,Staunton,24401,540-886-8112,,vfwva.org,"Veteran support, advocacy",All counties
Virginia,VA,American Legion Department of Virginia,State,PO Box 11025,Richmond,23230,804-353-6606,,valegion.org,"Veterans services, community programs",All counties
Washington,WA,Washington Department of Veterans Affairs,State,1102 Quince Street SE,Olympia,98504,800-562-2308,,dva.wa.gov,"Benefits assistance, state programs, claims support",All counties
Washington,WA,VFW Department of Washington,State,5213 Pacific Highway East,Fife,98424,253-922-2114,,vfwwa.org,"Veterans advocacy, benefits counseling",All counties
Washington,WA,American Legion Department of Washington,State,,,,,,,www.walegion.org,"Veteran support, community programs",All counties
West Virginia,WV,West Virginia Department of Veterans Assistance,State,1321 Plaza East Suite 101,Charleston,25301,304-558-3661,,veterans.wv.gov,"Benefits counseling, claims assistance, state programs",All counties
West Virginia,WV,VFW Department of West Virginia,State,,,,,,,www.wvvfw.org,"Veteran support, advocacy",All counties
Wisconsin,WI,Wisconsin Department of Veterans Affairs,State,201 W Washington Avenue,Madison,53703,608-266-1311,wisv ets@dva.wisconsin.gov,dva.wi.gov,"Benefits assistance, state programs, claims support, employment",All counties
Wisconsin,WI,VFW Department of Wisconsin,State,,,,,,,www.vfwwi.com,"Veterans advocacy, community programs",All counties
Wyoming,WY,Wyoming Veterans Commission,State,5500 Bishop Blvd,Cheyenne,82002,307-772-5145,,wyomilitary.wyo.gov/veterans-commission,"Benefits counseling, claims assistance",All counties
Wyoming,WY,VFW Department of Wyoming,State,,,,,,,www.vfwwy.org,"Veteran support, advocacy",All counties
AMVETS,National,AMVETS National Headquarters,National,,,,,877-726-8387,www.amvets.org,"Trained service officers in 40 states, claims assistance",Multi-state
Vietnam Veterans of America,National,VVA National Headquarters,National,8719 Colesville Road Suite 100,Silver Spring,20910,800-882-1316,,vva.org,"Benefits assistance, advocacy, 650+ chapters nationwide",Multi-state
Iraq and Afghanistan Veterans of America,National,IAVA,National,,,,,855-91-IAVA1,iava.org,"Advocacy, community building, benefits support",Multi-state
Paralyzed Veterans of America,National,PVA National Office,National,801 Eighteenth Street NW,Washington,20006,800-424-8200,,pva.org,"Benefits counseling, healthcare advocacy for paralyzed veterans",Multi-state

# Total Entries: 138
# Coverage: All 50 states + DC + 4 major national VSOs
# Notes: Many VSO state departments do not publicly list complete contact info for security. Veterans should use organization websites or call national numbers to find local chapters.
