state,state_code,organization_name,office_type,address,city,zip_code,phone,email,website,services_offered,languages_spoken,appointment_required,walk_in_hours,notes
Alaska,AK,VFW Department of Alaska,State HQ,2435 E Tudor Road,Anchorage,99507,(907) 563-3103,info@alaskavfw.org,https://alaskavfw.org,"Claims assistance, Benefits counseling, Employment services",English,No,Mon-Fri 9:00-5:00,Statewide coordination of posts
Alaska,AK,American Legion Department of Alaska,State HQ,520 E 4th Avenue,Anchorage,99501,(907) 278-8598,adjutant@alaskalegion.org,https://www.alaskalegion.org,"VA claims, Employment, Community support",English,Yes,By appointment,State headquarters office
Alaska,AK,DAV Alaska Chapter 1,State HQ,2925 DeBarr Road Room E406,Anchorage,99508,(907) 257-4830,davakalaska@gmail.com,https://davak.org,"VA claims, Benefits assistance","English, Native Alaskan",No,Mon-Fri 8:00-4:00,Free VA claims assistance
Alaska,AK,AMVETS Alaska Post 1,Local Post,5401 Petersburg Street,Anchorage,99507,(907) 338-8383,amvetsalaska@gmail.com,https://amvetsal.org,"Benefits, Employment, Transition",English,No,Mon-Sat 10:00-6:00,Community service programs
Alaska,AK,VFW Post 10221 Fairbanks,Local Post,520 1st Avenue,Fairbanks,99701,(907) 456-4129,vfw10221@yahoo.com,https://vfwpost10221.org,"Local support, VA referrals",English,No,Wed-Sun 12:00-10:00,Active veteran community
Alaska,AK,American Legion Post 28 Juneau,Local Post,1915 Lemon Creek Drive,Juneau,99801,(907) 789-7536,legionpost28@gmail.com,https://alpost28.org,"Community service, Benefits info",English,No,Mon-Fri 11:00-7:00,Southeast Alaska coverage
Alaska,AK,Alaska Department of Military & Veterans Affairs,State Agency,PO Box 5800,Fort Richardson,99505,(907) 428-6016,info@alaska.dmva.gov,https://veterans.alaska.gov,"State benefits, Education, Healthcare","English, Native Alaskan",Yes,Mon-Fri 8:00-4:30,State veterans services
Alaska,AK,VVA Alaska Chapter 1,Local Post,3126 Lakeshore Drive,Anchorage,99517,(907) 277-1617,vvaak@gmail.com,https://vvaak.org,"Benefits, Agent Orange, PTSD support",English,Yes,By appointment,Vietnam veterans assistance
Alaska,AK,VFW Post 9365 Ketchikan,Local Post,126 Front Street,Ketchikan,99901,(907) 225-4858,vfwpost9365@gmail.com,https://vfwpost9365.org,"Community service, VA referrals",English,No,Tue-Sat 1:00-8:00,Southeast Alaska post
Alaska,AK,Disabled American Veterans Kodiak,Regional Office,318 Mill Bay Road,Kodiak,99615,(907) 486-3216,davkodiak@gmail.com,https://davkodiak.org,"Claims assistance, Transportation","English, Native Alaskan",Yes,Mon-Wed 9:00-4:00,Island community support
Arizona,AZ,VFW Department of Arizona,State HQ,4747 North 7th Street,Phoenix,85014,(602) 277-3822,office@vfwaz.org,https://vfwaz.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-5:00,State headquarters
Arizona,AZ,American Legion Department of Arizona,State HQ,4701 North 19th Avenue Suite 200,Phoenix,85015,(602) 264-7706,azlegion@azlegion.org,https://www.azlegion.org,"VA claims, Employment, Advocacy","English, Spanish",Yes,By appointment,Statewide coordination
Arizona,AZ,DAV Department of Arizona,State HQ,4462 Houston Avenue,Macon,31206,(520) 792-1450,davarizona@gmail.com,https://az-dav.org,"VA claims, Benefits assistance","English, Spanish, Native American",No,Mon-Fri 8:00-4:30,Free claims assistance
Arizona,AZ,AMVETS Department of Arizona,State HQ,2601 East Southern Avenue Suite 101,Phoenix,85042,(602) 243-7788,amvetsaz@gmail.com,https://amvetsaz.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Full veteran services
Arizona,AZ,VFW Post 720 Tucson,Local Post,3201 East Veterans Boulevard,Tucson,85713,(520) 326-5124,post720@vfwtucson.org,https://vfwpost720.org,"Local support, VA claims","English, Spanish",No,Mon-Fri 10:00-8:00,Large active post
Arizona,AZ,American Legion Post 1 Phoenix,Local Post,4701 North 19th Avenue,Phoenix,85015,(602) 249-1313,alpost1@yahoo.com,https://azpost1.org,"Community service, Benefits","English, Spanish",No,Mon-Fri 9:00-6:00,Oldest post in Arizona
Arizona,AZ,DAV Scottsdale Chapter,Regional Office,10555 North 108th Street,Scottsdale,85259,(480) 451-3929,davscottsdale@gmail.com,https://davscottsdale.org,"VA claims, Medical transport","English, Spanish",Yes,Tue-Thu 9:00-3:00,Northeast Valley service
Arizona,AZ,VFW Post 1633 Mesa,Local Post,245 West 6th Avenue,Mesa,85210,(480) 964-7959,vfwpost1633@gmail.com,https://vfwpost1633.org,"Community service, Benefits referrals",English,No,Mon-Sat 11:00-9:00,East Valley location
Arizona,AZ,VVA Arizona State Council,State HQ,PO Box 10084,Phoenix,85064,(602) 955-2699,vvaarizona@gmail.com,https://vvaaz.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Arizona,AZ,Arizona Department of Veterans Services,State Agency,3839 North 3rd Street Suite 209,Phoenix,85012,(602) 255-3373,info@azdvs.gov,https://dvs.az.gov,"State benefits, Claims, Cemetery services","English, Spanish, Native American",Yes,Mon-Fri 8:00-5:00,State veterans office
Arkansas,AR,VFW Department of Arkansas,State HQ,4210 East Kiehl Avenue,Sherwood,72120,(501) 834-8392,arvfwhq@gmail.com,https://vfwar.org,"Claims assistance, Benefits counseling, Employment",English,No,Mon-Fri 8:00-4:30,State headquarters
Arkansas,AR,American Legion Department of Arkansas,State HQ,1415 West 3rd Street,Little Rock,72201,(501) 375-3443,arlegion@arlegion.org,https://www.arlegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Arkansas,AR,DAV Arkansas Department,State HQ,PO Box 55310,Little Rock,72215,(501) 324-6415,davarkansas@gmail.com,https://davarkansas.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Arkansas,AR,AMVETS Arkansas Department,State HQ,215 Main Street,Jacksonville,72076,(501) 985-2658,amvetsar@gmail.com,https://amvetsar.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Arkansas,AR,VFW Post 5689 Fort Smith,Local Post,12000 Phoenix Avenue,Fort Smith,72916,(479) 646-2978,vfwpost5689@gmail.com,https://vfwpost5689.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-10:00,Western Arkansas
Arkansas,AR,American Legion Post 1 Little Rock,Local Post,1415 West 3rd Street,Little Rock,72201,(501) 372-1415,arpost1@legion.org,https://arpost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-7:00,State capital location
Arkansas,AR,DAV Fayetteville Chapter,Regional Office,1100 North College Avenue,Fayetteville,72703,(479) 444-7940,davfayetteville@gmail.com,https://davfayetteville.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northwest Arkansas
Arkansas,AR,VFW Post 9644 Jonesboro,Local Post,2805 East Nettleton Avenue,Jonesboro,72401,(870) 932-4900,vfwpost9644@yahoo.com,https://vfwpost9644.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Northeast Arkansas
Arkansas,AR,VVA Arkansas Chapter 1,Local Post,PO Box 250881,Little Rock,72225,(501) 920-4088,vvaarkansas@gmail.com,https://vvaar.org,"Benefits, Agent Orange claims, PTSD",English,Yes,By appointment,Vietnam veterans focus
Arkansas,AR,Arkansas Department of Veterans Affairs,State Agency,2200 Fort Roots Drive Building 65,North Little Rock,72114,(501) 370-3820,info@veterans.arkansas.gov,https://www.veterans.arkansas.gov,"State benefits, Claims, Healthcare",English,Yes,Mon-Fri 8:00-4:30,State veterans services
California,CA,VFW Department of California,State HQ,9136 Elk Grove Boulevard Suite 100,Elk Grove,95624,(916) 509-8712,office@vfwca.org,https://vfwca.org,"Claims assistance, Benefits counseling, Employment","English, Spanish, Tagalog, Vietnamese",No,Mon-Fri 8:00-5:00,State headquarters
California,CA,American Legion Department of California,State HQ,1601 7th Street,Sanger,93657,(559) 875-8387,legionmail@calegion.org,https://calegion.org,"VA claims, Employment, Advocacy","English, Spanish",Yes,By appointment,Statewide coordination
California,CA,DAV Department of California,State HQ,1111 Howe Avenue Suite 390,Sacramento,95825,(916) 622-2832,davcalifornia@gmail.com,https://davca.org,"VA claims, Benefits assistance","English, Spanish, Vietnamese, Tagalog",No,Mon-Fri 8:00-4:30,Free claims assistance
California,CA,AMVETS Department of California,State HQ,PO Box 2788,Turlock,95381,(559) 688-3407,deptamvetsca@gmail.com,https://amvetsca.org,"Benefits, Employment, Transition","English, Spanish",No,Mon-Fri 9:00-5:00,Full veteran services
California,CA,VFW Post 9934 San Diego,Local Post,4370 Twain Avenue,San Diego,92120,(619) 284-5474,post9934@vfwsandiego.org,https://vfwpost9934.org,"Local support, VA claims","English, Spanish",No,Mon-Fri 10:00-9:00,Large metropolitan post
California,CA,American Legion Post 43 Los Angeles,Local Post,2450 South Grand Avenue,Los Angeles,90007,(213) 748-2419,alpost43@sbcglobal.net,https://lapost43.org,"Community service, Benefits","English, Spanish, Korean",No,Mon-Fri 9:00-6:00,Downtown LA location
California,CA,DAV San Francisco Chapter,Regional Office,401 Van Ness Avenue,San Francisco,94102,(415) 441-4084,davsf@gmail.com,https://davsf.org,"VA claims, Medical transport","English, Spanish, Chinese, Tagalog",Yes,Mon-Thu 8:00-4:00,Bay Area coverage
California,CA,VFW Post 1679 Sacramento,Local Post,8990 Kruithof Way,Fair Oaks,95628,(916) 966-1679,vfwpost1679@gmail.com,https://vfwpost1679.org,"Community service, Benefits",English,No,Mon-Sat 11:00-10:00,State capital area
California,CA,VVA California State Council,State HQ,13760 Cordary Avenue,Hawthorne,90250,(310) 676-7270,vvacalsc@gmail.com,https://vvacalsc.com,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
California,CA,CalVet - California Department of Veterans Affairs,State Agency,1227 O Street Room 300,Sacramento,95814,(800) 952-5626,info@calvet.ca.gov,https://www.calvet.ca.gov,"State benefits, Claims, Home loans, Healthcare","English, Spanish, Tagalog, Vietnamese",Yes,Mon-Fri 8:00-5:00,State veterans department
Colorado,CO,VFW Department of Colorado,State HQ,7465 East 1st Avenue Suite D,Denver,80230,(303) 421-1630,office@vfwcolorado.org,https://vfwco.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-4:30,State headquarters
Colorado,CO,American Legion Department of Colorado,State HQ,7465 East 1st Avenue Suite D,Denver,80230,(303) 366-5201,info@coloradolegion.org,https://www.coloradolegion.org,"VA claims, Employment, Community","English, Spanish",Yes,By appointment,State service office
Colorado,CO,DAV Colorado Department,State HQ,PO Box 6800,Denver,80206,(303) 355-7999,davcolorado@gmail.com,https://davcolorado.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Colorado,CO,AMVETS Colorado Department,State HQ,2805 South Circle Drive Suite 120,Colorado Springs,80906,(719) 632-0063,amvetsco@gmail.com,https://amvetsco.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Colorado,CO,VFW Post 4171 Colorado Springs,Local Post,430 East Pikes Peak Avenue,Colorado Springs,80903,(719) 632-9874,vfwpost4171@gmail.com,https://vfwpost4171.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Southern Colorado
Colorado,CO,American Legion Post 1 Denver,Local Post,1370 North Grant Street,Denver,80203,(303) 832-4676,alpost1denver@gmail.com,https://denverpost1.org,"Community service, Benefits","English, Spanish",No,Mon-Fri 10:00-7:00,State capital location
Colorado,CO,DAV Fort Collins Chapter,Regional Office,600 South Lemay Avenue,Fort Collins,80524,(970) 221-5176,davfortcollins@gmail.com,https://davfortcollins.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Northern Colorado
Colorado,CO,VFW Post 3917 Boulder,Local Post,1919 Broadway,Boulder,80302,(303) 442-3917,vfwpost3917@gmail.com,https://vfwpost3917.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,Boulder County
Colorado,CO,VVA Colorado State Council,State HQ,PO Box 102145,Denver,80250,(303) 758-8387,vvacolorado@gmail.com,https://vvaco.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans focus
Colorado,CO,Colorado Department of Military and Veterans Affairs,State Agency,1355 South Colorado Boulevard Suite C-107,Denver,80222,(303) 284-6077,info@dmva.state.co.us,https://dmva.colorado.gov,"State benefits, Claims, Cemetery services","English, Spanish",Yes,Mon-Fri 8:00-5:00,State veterans office
Connecticut,CT,VFW Department of Connecticut,State HQ,1 Industrial Drive,Rocky Hill,06067,(860) 436-9986,office@ctvfw.org,https://ctvfw.org,"Claims assistance, Benefits counseling, Employment",English,No,Mon-Fri 8:30-4:30,State headquarters
Connecticut,CT,American Legion Department of Connecticut,State HQ,287 West Street,Rocky Hill,06067,(860) 436-9986,info@ctlegion.org,https://www.ctlegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Connecticut,CT,DAV Connecticut Department,State HQ,1111 Country Club Road,Middletown,06457,(860) 616-3603,davconnecticut@gmail.com,https://davct.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
Connecticut,CT,AMVETS Connecticut Department,State HQ,35 Cold Spring Road Suite 319,Rocky Hill,06067,(860) 436-8719,amvetsct@gmail.com,https://amvetsct.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Connecticut,CT,VFW Post 2150 Hartford,Local Post,1 Corbin Drive,West Hartford,06110,(860) 232-2916,vfwpost2150@gmail.com,https://vfwpost2150.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Greater Hartford area
Connecticut,CT,American Legion Post 16 New Haven,Local Post,317 Forbes Avenue,New Haven,06512,(203) 467-2929,alpost16nh@gmail.com,https://alpost16.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,South central CT
Connecticut,CT,DAV Bridgeport Chapter,Regional Office,940 North Avenue,Bridgeport,06606,(203) 335-7718,davbridgeport@gmail.com,https://davbridgeport.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Fairfield County
Connecticut,CT,VFW Post 591 Waterbury,Local Post,60 Anawan Street,Waterbury,06708,(203) 754-2591,vfwpost591@yahoo.com,https://vfwpost591.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,West central CT
Connecticut,CT,VVA Connecticut State Council,State HQ,PO Box 5422,Hamden,06518,(203) 248-8387,vvaconnecticut@gmail.com,https://vvact.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Connecticut,CT,Connecticut Department of Veterans Affairs,State Agency,287 West Street,Rocky Hill,06067,(860) 616-3603,ct.dva@ct.gov,https://portal.ct.gov/DVA,"State benefits, Claims, Healthcare",English,Yes,Mon-Fri 8:30-4:30,State veterans department
Delaware,DE,VFW Department of Delaware,State HQ,PO Box 1165,Dover,19903,(302) 734-1776,vfwde@gmail.com,https://vfwde.org,"Claims assistance, Benefits counseling, Employment",English,No,Mon-Fri 9:00-4:00,State headquarters
Delaware,DE,American Legion Department of Delaware,State HQ,1524 Jefferson Street,Wilmington,19801,(302) 656-9214,delhq@delaware-legion.org,https://www.delaware-legion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Delaware,DE,DAV Delaware Department,State HQ,1601 Kirkwood Highway,Wilmington,19805,(302) 994-2511,davdelaware@gmail.com,https://davde.org,"VA claims, Benefits assistance",English,No,Mon-Fri 8:00-4:00,Free claims assistance
Delaware,DE,AMVETS Delaware Department,State HQ,100 West Commons Boulevard,New Castle,19720,(302) 326-2972,amvetsde@gmail.com,https://amvetsde.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Delaware,DE,VFW Post 475 Wilmington,Local Post,300 Veterans Drive,Wilmington,19802,(302) 762-9475,vfwpost475@gmail.com,https://vfwpost475.org,"Local support, VA referrals",English,No,Mon-Sat 11:00-9:00,Northern Delaware
Delaware,DE,American Legion Post 1 Dover,Local Post,1110 South State Street,Dover,19901,(302) 734-5009,alpost1dover@gmail.com,https://doverpost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,State capital location
Delaware,DE,DAV Chapter 1 Dover,Regional Office,1601 Kirkwood Highway,Wilmington,19805,(302) 633-5127,davdover@gmail.com,https://davdover.org,"VA claims, Medical transport",English,Yes,Tue-Thu 9:00-3:00,Kent County
Delaware,DE,VFW Post 5471 Newark,Local Post,100 Veterans Drive,Newark,19711,(302) 368-5471,vfwpost5471@yahoo.com,https://vfwpost5471.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,University area
Delaware,DE,VVA Delaware Chapter 1,Local Post,PO Box 896,Middletown,19709,(302) 378-9387,vvadelaware@gmail.com,https://vvade.org,"Benefits, Agent Orange, PTSD",English,Yes,By appointment,Vietnam veterans services
Delaware,DE,Delaware Commission of Veterans Affairs,State Agency,Robbins Building 802 Silver Lake Boulevard Suite 100,Dover,19904,(302) 739-2792,vets@delaware.gov,https://veteransaffairs.delaware.gov,"State benefits, Claims, Education",English,Yes,Mon-Fri 8:00-4:30,State veterans office
Florida,FL,VFW Department of Florida,State HQ,543 NE Sanchez Avenue,Ocala,34470,(352) 622-5126,office@vfwfl.org,https://vfwfl.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-5:00,State headquarters
Florida,FL,American Legion Department of Florida,State HQ,1912A Lee Road,Orlando,32810,(407) 295-2631,mail@floridalegion.org,https://www.floridalegion.org,"VA claims, Employment, Advocacy","English, Spanish, Creole",Yes,By appointment,Statewide coordination
Florida,FL,DAV Department of Florida,State HQ,PO Box 620,Orange Park,32067,(904) 269-0886,davflorida@gmail.com,https://davflorida.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:30,Free claims assistance
Florida,FL,AMVETS Department of Florida,State HQ,PO Box 1838,Lakeland,33802,(863) 688-1989,amvetsfl@gmail.com,https://amvetsfl.org,"Benefits, Employment, Transition","English, Spanish",No,Mon-Fri 9:00-5:00,Full veteran services
Florida,FL,VFW Post 3289 Tampa,Local Post,7612 Ehrlich Road,Tampa,33625,(813) 968-3289,vfwpost3289@gmail.com,https://vfwpost3289.org,"Local support, VA claims","English, Spanish",No,Mon-Fri 10:00-9:00,Tampa Bay area
Florida,FL,American Legion Post 53 Miami,Local Post,5400 NW 2nd Avenue,Miami,33127,(305) 757-8553,alpost53miami@gmail.com,https://miamipost53.org,"Community service, Benefits","English, Spanish, Creole",No,Mon-Fri 9:00-6:00,South Florida
Florida,FL,DAV Jacksonville Chapter,Regional Office,1833 Boulevard,Jacksonville,32206,(904) 353-4626,davjacksonville@gmail.com,https://davjacksonville.org,"VA claims, Medical transport","English, Spanish",Yes,Mon-Thu 8:00-4:00,Northeast Florida
Florida,FL,VFW Post 10066 Orlando,Local Post,915 East Michigan Street,Orlando,32806,(407) 898-1776,vfwpost10066@gmail.com,https://vfwpost10066.org,"Community service, Benefits","English, Spanish",No,Mon-Sat 11:00-10:00,Central Florida
Florida,FL,VVA Florida State Council,State HQ,PO Box 626,Orange Park,32067,(904) 269-5459,vvaflorida@gmail.com,https://www.vvafsc.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Florida,FL,Florida Department of Veterans Affairs,State Agency,9500 Bay Pines Boulevard,Saint Petersburg,33708,(727) 319-7440,contact@fdva.state.fl.us,https://floridavets.org,"State benefits, Claims, Education, Healthcare","English, Spanish, Creole",Yes,Mon-Fri 8:00-5:00,State veterans department
Georgia,GA,VFW Department of Georgia,State HQ,570 Singleton Road,Stockbridge,30281,(770) 389-8387,office@vfwga.org,https://vfwga.org,"Claims assistance, Benefits counseling, Employment","English, Spanish",No,Mon-Fri 8:00-5:00,State headquarters
Georgia,GA,American Legion Department of Georgia,State HQ,3035 Mt. Zion Road,Stockbridge,30281,(678) 289-8883,info@galegion.org,https://www.galegion.org,"VA claims, Employment, Community","English, Spanish",Yes,By appointment,State service office
Georgia,GA,DAV Department of Georgia,State HQ,4462 Houston Avenue,Macon,31206,(478) 742-5020,georgiadav@gmail.com,https://georgiadav.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:30,Free claims assistance
Georgia,GA,AMVETS Department of Georgia,State HQ,PO Box 3382,Alpharetta,30023,(770) 475-5115,amvetsga@gmail.com,https://amvetsga.org,"Benefits, Employment, Transition",English,No,Mon-Fri 9:00-5:00,Veteran support services
Georgia,GA,VFW Post 2930 Atlanta,Local Post,1650 Liberty Parkway NW,Atlanta,30318,(404) 351-2930,vfwpost2930@gmail.com,https://vfwpost2930.org,"Local support, VA referrals","English, Spanish",No,Mon-Fri 10:00-9:00,Metro Atlanta
Georgia,GA,American Legion Post 1 Savannah,Local Post,1108 Bull Street,Savannah,31401,(912) 232-9277,alpost1savannah@gmail.com,https://savannahpost1.org,"Community service, Benefits",English,No,Mon-Fri 10:00-6:00,Coastal Georgia
Georgia,GA,DAV Augusta Chapter,Regional Office,1 Freedom Way,Augusta,30904,(706) 733-0188,davaugusta@gmail.com,https://davaugusta.org,"VA claims, Medical transport","English, Spanish",Yes,Tue-Thu 9:00-3:00,East central Georgia
Georgia,GA,VFW Post 5819 Columbus,Local Post,1819 10th Avenue,Columbus,31901,(706) 322-5819,vfwpost5819@yahoo.com,https://vfwpost5819.org,"Community service, Benefits",English,No,Wed-Sun 12:00-8:00,West Georgia
Georgia,GA,VVA Georgia State Council,State HQ,PO Box 870614,Stone Mountain,30087,(404) 296-4387,vvageorgia@gmail.com,https://vvaga.org,"Benefits, Agent Orange, PTSD","English, Spanish",Yes,By appointment,Vietnam veterans services
Georgia,GA,Georgia Department of Veterans Service,State Agency,Floyd Veterans Memorial Building Suite E-970 2 Martin Luther King Jr. Drive SE,Atlanta,30334,(404) 656-2300,info@vs.state.ga.us,https://veterans.georgia.gov,"State benefits, Claims, Education","English, Spanish",Yes,Mon-Fri 8:00-5:00,State veterans department
Hawaii,HI,VFW Department of Hawaii,State HQ,1298 Kukila Street,Honolulu,96818,(808) 423-1334,office@vfwhawaii.org,https://vfwhawaii.org,"Claims assistance, Benefits counseling, Employment","English, Hawaiian, Tagalog, Japanese",No,Mon-Fri 8:00-4:30,State headquarters
Hawaii,HI,American Legion Department of Hawaii,State HQ,612 McCully Street,Honolulu,96826,(808) 946-6383,depthawaii@hawaiilegion.org,https://www.hawaiilegion.org,"VA claims, Employment, Community","English, Hawaiian, Tagalog",Yes,By appointment,State service office
Hawaii,HI,DAV Hawaii Department,State HQ,459 Patterson Road,Honolulu,96819,(808) 566-1724,davhawaii@gmail.com,https://davhawaii.org,"VA claims, Benefits assistance","English, Hawaiian, Tagalog, Japanese",No,Mon-Fri 8:00-4:00,Free claims assistance
Hawaii,HI,AMVETS Hawaii Department,State HQ,PO Box 29576,Honolulu,96820,(808) 423-9988,amvetshi@gmail.com,https://amvetshi.org,"Benefits, Employment, Transition","English, Tagalog",No,Mon-Fri 9:00-5:00,Veteran support services
Hawaii,HI,VFW Post 2875 Pearl City,Local Post,944 Lehua Avenue,Pearl City,96782,(808) 456-2875,vfwpost2875@gmail.com,https://vfwpost2875.org,"Local support, VA referrals","English, Tagalog",No,Mon-Sat 11:00-9:00,Oahu central
Hawaii,HI,American Legion Post 20 Hilo,Local Post,207 Waianuenue Avenue,Hilo,96720,(808) 935-9101,alpost20hilo@gmail.com,https://hilopost20.org,"Community service, Benefits","English, Hawaiian",No,Mon-Fri 10:00-6:00,Big Island
Hawaii,HI,DAV Chapter 5 Kailua-Kona,Regional Office,73-4976 Kamanu Street,Kailua-Kona,96740,(808) 329-1866,davkona@gmail.com,https://davkona.org,"VA claims, Medical transport","English, Hawaiian",Yes,Tue-Thu 9:00-3:00,West Hawaii
Hawaii,HI,VFW Post 10276 Maui,Local Post,777 Lower Main Street,Wailuku,96793,(808) 244-0276,vfwpost10276@gmail.com,https://vfwpost10276.org,"Community service, Benefits","English, Tagalog",No,Wed-Sun 12:00-8:00,Maui County
Hawaii,HI,VVA Hawaii Chapter 1,Local Post,PO Box 29576,Honolulu,96820,(808) 988-4387,vvahawaii@gmail.com,https://vvahawaii.org,"Benefits, Agent Orange, PTSD","English, Tagalog",Yes,By appointment,Vietnam veterans services
Hawaii,HI,Hawaii Office of Veterans Services,State Agency,459 Patterson Road E-Wing Room 1-A103,Honolulu,96819,(808) 433-0420,info@ovs.hawaii.gov,https://dod.hawaii.gov/ovs,"State benefits, Claims, Education","English, Hawaiian, Tagalog",Yes,Mon-Fri 7:45-4:30,State veterans office
Idaho,ID,VFW Department of Idaho,State HQ,6935 West Emerald Street,Boise,83704,(208) 375-4367,office@vfwidaho.org,https://vfwidaho.org,"Claims assistance, Benefits counseling, Employment",English,No,Mon-Fri 9:00-4:00,State headquarters
Idaho,ID,American Legion Department of Idaho,State HQ,901 Warren Street,Boise,83706,(208) 342-7061,adjutant@idlegion.org,https://www.idlegion.org,"VA claims, Employment, Community",English,Yes,By appointment,State service office
Idaho,ID,DAV Idaho Department,State HQ,805 West Franklin Street,Boise,83702,(208) 342-2699,davidaho@gmail.com,https://davidaho.org,"VA claims, Benefits assistance","English, Spanish",No,Mon-Fri 8:00-4:00,Free claims assistance
