school_name,school_type,state,city,programs_offered,total_enrollment,veteran_enrollment,yellow_ribbon_program,in_state_tuition,out_of_state_tuition,housing_allowance_rate,graduation_rate,veteran_graduation_rate,post_graduation_employment_rate,gi_bill_students,veteran_services_office,contact_phone,contact_email,website,notes
Santa Monica College,Community College,California,Santa Monica,"Liberal Arts, Design, Media, Business, Sciences",28000,2700,No,1288,9448,2973,42%,48%,76%,2700,Yes,(310) 434-4000,veterans@smc.edu,https://www.smc.edu,UCLA transfer pipeline
Coastline Community College,Community College,California,Fountain Valley,"Liberal Arts, IT, Business, Mortuary Science, Fashion",10000,2650,No,1288,7944,2373,35%,42%,69%,2650,Yes,(714) 546-7600,veterans@coastline.edu,https://www.coastline.edu,Coast CCD system
Pierce College,Community College,Washington,Lakewood,"Liberal Arts, Nursing, Business, Veterinary Tech, Arts",10000,2600,No,4458,10077,1542,38%,44%,70%,2600,Yes,(253) 964-6500,veterans@pierce.ctc.edu,https://www.pierce.ctc.edu,Near JBLM
Embry-Riddle Prescott,Private,Arizona,Prescott,"Aerospace Engineering, Aviation, Security, Safety, Business",3500,600,Yes,40984,40984,1815,70%,74%,89%,600,Yes,(928) 777-6600,veterans@erau.edu,https://prescott.erau.edu,Arizona campus
Norwich University,Private,Vermont,Northfield,"Criminal Justice, Cybersecurity, Business, Engineering, Nursing",3500,580,Yes,43722,43722,1554,68%,72%,85%,580,Yes,(802) 485-2000,veterans@norwich.edu,https://www.norwich.edu,Oldest private military college
University of San Diego,Private,California,San Diego,"Business, Engineering, Nursing, Law, Peace Studies",9000,550,Yes,55858,55858,2760,84%,86%,90%,550,Yes,(619) 260-4600,veterans@sandiego.edu,https://www.sandiego.edu,Private Catholic university
Syracuse University,Private,New York,Syracuse,"Communications, Business, Engineering, Public Affairs, Architecture",22000,520,Yes,58440,58440,1710,82%,85%,88%,520,Yes,(315) 443-1870,veterans@syr.edu,https://www.syracuse.edu,Institute for Veterans & Military Families
George Mason University,Public,Virginia,Fairfax,"Engineering, Business, Policy, Arts, Computer Science",39000,2400,Yes,13014,38370,2373,72%,75%,83%,2400,Yes,(703) 993-1000,veterans@gmu.edu,https://www.gmu.edu,Near Washington DC
University of Oklahoma,Public,Oklahoma,Norman,"Engineering, Business, Meteorology, Petroleum, Journalism",28000,2350,Yes,5070,25408,1209,70%,73%,82%,2350,Yes,(405) 325-0311,veterans@ou.edu,https://www.ou.edu,Sooner tradition
Oklahoma State University,Public,Oklahoma,Stillwater,"Agriculture, Engineering, Business, Veterinary, Aviation",25000,2300,Yes,5417,21488,1209,65%,68%,80%,2300,Yes,(405) 744-5000,veterans@okstate.edu,https://www.okstate.edu,Land-grant university
University of Washington,Public,Washington,Seattle,"Medicine, Engineering, Business, Computer Science, Nursing",47000,2250,Yes,11745,40740,2178,84%,86%,91%,2250,Yes,(206) 543-2100,veterans@uw.edu,https://www.uw.edu,Top public research university
Washington State University,Public,Washington,Pullman,"Agriculture, Business, Veterinary, Engineering, Communications",31000,2200,Yes,12002,27026,1542,70%,72%,81%,2200,Yes,(509) 335-3564,veterans@wsu.edu,https://www.wsu.edu,Land-grant university
Oregon State University,Public,Oregon,Corvallis,"Engineering, Agriculture, Forestry, Oceanography, Business",34000,2150,Yes,13000,34000,1638,68%,71%,80%,2150,Yes,(541) 737-4411,veterans@oregonstate.edu,https://oregonstate.edu,Land-grant and sea-grant
University of Oregon,Public,Oregon,Eugene,"Journalism, Business, Education, Architecture, Environmental",22000,2100,Yes,13400,40,000,1638,73%,75%,84%,2100,Yes,(541) 346-3111,veterans@uoregon.edu,https://www.uoregon.edu,Go Ducks
Colorado State University,Public,Colorado,Fort Collins,"Agriculture, Veterinary, Engineering, Business, Atmospheric",33000,2050,Yes,12688,30446,1467,69%,71%,82%,2050,Yes,(970) 491-1101,veterans@colostate.edu,https://www.colostate.edu,Land-grant research university
University of Colorado Boulder,Public,Colorado,Boulder,"Engineering, Business, Aerospace, Environmental, Physics",35000,2000,Yes,13910,39824,1467,71%,74%,85%,2000,Yes,(303) 492-1411,veterans@colorado.edu,https://www.colorado.edu,Flagship Colorado university
University of Texas at Austin,Public,Texas,Austin,"Engineering, Business, Liberal Arts, Communication, Computer Science",52000,1950,Yes,11448,40032,1551,88%,90%,93%,1950,Yes,(512) 471-3434,veterans@austin.utexas.edu,https://www.utexas.edu,Top public university
University of Houston,Public,Texas,Houston,"Engineering, Business, Hotel Management, Optometry, Law",47000,1900,Yes,10856,28456,1551,62%,65%,79%,1900,Yes,(713) 743-1000,veterans@uh.edu,https://www.uh.edu,Tier One research university
Texas Tech University,Public,Texas,Lubbock,"Engineering, Agriculture, Business, Wind Energy, Health",40000,1850,Yes,11808,25392,1209,63%,66%,78%,1850,Yes,(806) 742-2011,veterans@ttu.edu,https://www.ttu.edu,Large West Texas university
Texas State University,Public,Texas,San Marcos,"Education, Business, Mass Comm, Applied Arts, Criminal Justice",38000,1800,Yes,11298,21977,1665,60%,63%,77%,1800,Yes,(512) 245-2111,veterans@txstate.edu,https://www.txstate.edu,Growing public university
University of North Texas,Public,Texas,Denton,"Music, Engineering, Business, Journalism, Information",44000,1750,Yes,10752,24228,1551,58%,62%,76%,1750,Yes,(940) 565-2000,veterans@unt.edu,https://www.unt.edu,Large music program
University of Georgia,Public,Georgia,Athens,"Agriculture, Business, Journalism, Veterinary, Pharmacy",40000,1700,Yes,11818,30220,1335,87%,89%,92%,1700,Yes,(706) 542-3000,veterans@uga.edu,https://www.uga.edu,SEC research university
Georgia Institute of Technology,Public,Georgia,Atlanta,"Engineering, Computer Science, Business, Architecture, Sciences",44000,1680,Yes,12682,33020,1932,92%,94%,97%,1680,Yes,(404) 894-2000,veterans@gatech.edu,https://gatech.edu,Top engineering school
Georgia State University,Public,Georgia,Atlanta,"Business, Law, Education, Public Health, Policy",36000,1650,Yes,10008,28272,1932,55%,59%,78%,1650,Yes,(404) 413-2000,veterans@gsu.edu,https://www.gsu.edu,Urban research university
Kennesaw State University,Public,Georgia,Kennesaw,"Business, Engineering, Education, Computer Science, Nursing",43000,1600,Yes,6178,18812,1932,48%,52%,75%,1600,Yes,(470) 578-6000,veterans@kennesaw.edu,https://www.kennesaw.edu,Fast-growing Georgia university
University of North Carolina Chapel Hill,Public,North Carolina,Chapel Hill,"Liberal Arts, Business, Medicine, Pharmacy, Journalism",31000,1550,Yes,8998,36776,1665,91%,92%,95%,1550,Yes,(919) 962-2211,veterans@unc.edu,https://www.unc.edu,First public university
North Carolina State University,Public,North Carolina,Raleigh,"Engineering, Agriculture, Textiles, Design, Veterinary",36000,1500,Yes,9058,28444,1665,84%,86%,90%,1500,Yes,(919) 515-2011,veterans@ncsu.edu,https://www.ncsu.edu,Research triangle
University of South Carolina,Public,South Carolina,Columbia,"Business, Engineering, Nursing, Marine Science, Journalism",35000,1480,Yes,12688,33928,1335,76%,79%,84%,1480,Yes,(803) 777-7000,veterans@sc.edu,https://www.sc.edu,State flagship
Clemson University,Public,South Carolina,Clemson,"Engineering, Agriculture, Architecture, Business, Sciences",27000,1450,Yes,15558,38550,1335,84%,86%,89%,1450,Yes,(864) 656-3311,veterans@clemson.edu,https://www.clemson.edu,Land-grant ACC university
University of Tennessee Knoxville,Public,Tennessee,Knoxville,"Engineering, Business, Agriculture, Nursing, Nuclear Engineering",30000,1420,Yes,13244,31664,1209,73%,76%,83%,1420,Yes,(865) 974-1000,veterans@utk.edu,https://www.utk.edu,SEC flagship university
Vanderbilt University,Private,Tennessee,Nashville,"Engineering, Medicine, Education, Law, Music",13000,400,Yes,60348,60348,1551,93%,94%,97%,400,Yes,(615) 322-7311,veterans@vanderbilt.edu,https://www.vanderbilt.edu,Elite private university
University of Kentucky,Public,Kentucky,Lexington,"Engineering, Agriculture, Medicine, Pharmacy, Business",30000,1380,Yes,12360,31664,1335,68%,71%,80%,1380,Yes,(859) 257-9000,veterans@uky.edu,https://www.uky.edu,SEC university
University of Louisville,Public,Kentucky,Louisville,"Medicine, Business, Engineering, Public Health, Law",22000,1350,Yes,12246,28564,1335,59%,63%,78%,1350,Yes,(502) 852-5555,veterans@louisville.edu,https://louisville.edu,Urban research university
Louisiana State University,Public,Louisiana,Baton Rouge,"Engineering, Business, Petroleum, Mass Comm, Veterinary",34000,1320,Yes,11950,28627,1335,70%,73%,81%,1320,Yes,(225) 578-3202,veterans@lsu.edu,https://www.lsu.edu,SEC flagship university
Tulane University,Private,Louisiana,New Orleans,"Business, Public Health, Medicine, Law, Architecture",14000,350,Yes,62400,62400,1932,87%,89%,93%,350,Yes,(504) 865-5000,veterans@tulane.edu,https://tulane.edu,Private research university
University of Arkansas,Public,Arkansas,Fayetteville,"Business, Agriculture, Engineering, Architecture, Poultry Science",30000,1280,Yes,9656,27700,1209,69%,72%,81%,1280,Yes,(479) 575-2000,veterans@uark.edu,https://www.uark.edu,State flagship SEC
University of Missouri,Public,Missouri,Columbia,"Journalism, Business, Engineering, Agriculture, Medicine",31000,1250,Yes,11408,30913,1209,72%,75%,83%,1250,Yes,(573) 882-2121,veterans@missouri.edu,https://www.missouri.edu,Flagship Missouri university SEC
Missouri State University,Public,Missouri,Springfield,"Business, Education, Health, Agriculture, Public Affairs",23000,1220,Yes,7938,16208,1209,60%,64%,77%,1220,Yes,(417) 836-5000,veterans@missouristate.edu,https://www.missouristate.edu,Public affairs mission
Kansas State University,Public,Kansas,Manhattan,"Agriculture, Engineering, Veterinary, Architecture, Milling",21000,1200,Yes,10382,26498,1209,67%,70%,80%,1200,Yes,(785) 532-6011,veterans@k-state.edu,https://www.k-state.edu,Land-grant university
University of Kansas,Public,Kansas,Lawrence,"Engineering, Business, Journalism, Pharmacy, Medicine",28000,1180,Yes,11148,28034,1209,65%,68%,79%,1180,Yes,(785) 864-2700,veterans@ku.edu,https://www.ku.edu,Flagship Kansas university
Iowa State University,Public,Iowa,Ames,"Engineering, Agriculture, Veterinary, Design, Landscape Architecture",31000,1150,Yes,9320,25420,1134,75%,78%,85%,1150,Yes,(515) 294-4111,veterans@iastate.edu,https://www.iastate.edu,Land-grant university
University of Iowa,Public,Iowa,Iowa City,"Medicine, Business, Writing, Engineering, Law",32000,1120,Yes,9830,31569,1134,73%,76%,84%,1120,Yes,(319) 335-3500,veterans@uiowa.edu,https://www.uiowa.edu,Big Ten university
University of Nebraska Lincoln,Public,Nebraska,Lincoln,"Agriculture, Engineering, Business, Journalism, Architecture",25000,1100,Yes,9242,25006,1134,68%,71%,80%,1100,Yes,(402) 472-7211,veterans@unl.edu,https://www.unl.edu,Big Ten land-grant
University of Minnesota Twin Cities,Public,Minnesota,Minneapolis,"Engineering, Business, Agriculture, Medicine, Veterinary",51000,1080,Yes,15254,33325,1554,84%,86%,91%,1080,Yes,(612) 625-2008,veterans@umn.edu,https://www.umn.edu,Big Ten research university
University of Wisconsin Madison,Public,Wisconsin,Madison,"Engineering, Agriculture, Business, Medicine, Veterinary",48000,1050,Yes,10796,38618,1488,89%,91%,94%,1050,Yes,(608) 263-2400,veterans@wisc.edu,https://www.wisc.edu,Top public university Big Ten
University of Illinois Urbana-Champaign,Public,Illinois,Champaign,"Engineering, Business, Agriculture, Computer Science, Architecture",52000,1020,Yes,16866,34316,1209,85%,87%,92%,1020,Yes,(217) 333-1000,veterans@illinois.edu,https://illinois.edu,Top engineering Big Ten
Northwestern University,Private,Illinois,Evanston,"Engineering, Journalism, Business, Medicine, Law",22000,300,Yes,63468,63468,1932,97%,98%,99%,300,Yes,(847) 491-3741,veterans@northwestern.edu,https://www.northwestern.edu,Elite private university
University of Michigan Ann Arbor,Public,Michigan,Ann Arbor,"Engineering, Business, Medicine, Law, Ross School",47000,980,Yes,16178,54454,1488,93%,94%,97%,980,Yes,(734) 764-1817,veterans@umich.edu,https://www.umich.edu,Top public university
Michigan State University,Public,Michigan,East Lansing,"Agriculture, Engineering, Business, Veterinary, Packaging",50000,960,Yes,15472,41958,1488,82%,84%,89%,960,Yes,(517) 355-1855,veterans@msu.edu,https://www.msu.edu,Big Ten land-grant
Wayne State University,Public,Michigan,Detroit,"Medicine, Business, Engineering, Social Work, Law",26000,940,Yes,14032,31598,1488,51%,56%,76%,940,Yes,(313) 577-2424,veterans@wayne.edu,https://www.wayne.edu,Urban research university
Indiana University Bloomington,Public,Indiana,Bloomington,"Business, Music, Public Affairs, Education, Law",48000,920,Yes,11790,38354,1059,81%,84%,88%,920,Yes,(812) 855-4848,veterans@indiana.edu,https://www.indiana.edu,Big Ten flagship
Purdue University West Lafayette,Public,Indiana,West Lafayette,"Engineering, Agriculture, Aviation, Pharmacy, Veterinary",45000,900,Yes,9992,28794,1059,85%,87%,92%,900,Yes,(765) 494-4600,veterans@purdue.edu,https://www.purdue.edu,Big Ten engineering focus
Ohio University,Public,Ohio,Athens,"Business, Journalism, Engineering, Health Sciences, Film",29000,880,Yes,13352,22296,1488,68%,71%,80%,880,Yes,(740) 593-1000,veterans@ohio.edu,https://www.ohio.edu,Oldest Ohio university
University of Cincinnati,Public,Ohio,Cincinnati,"Engineering, Design, Medicine, Business, Criminal Justice",46000,860,Yes,11000,27334,1488,70%,73%,82%,860,Yes,(513) 556-6000,veterans@uc.edu,https://www.uc.edu,Co-op program pioneer
Kent State University,Public,Ohio,Kent,"Business, Education, Fashion, Architecture, Nursing",34000,840,Yes,11766,20286,1488,64%,67%,78%,840,Yes,(330) 672-3000,veterans@kent.edu,https://www.kent.edu,Large Ohio university
University of Pittsburgh,Private,Pennsylvania,Pittsburgh,"Medicine, Engineering, Business, Public Health, Nursing",33000,800,Yes,20382,35774,1710,84%,86%,90%,800,Yes,(412) 624-4141,veterans@pitt.edu,https://www.pitt.edu,State-related research university
Temple University,Public,Pennsylvania,Philadelphia,"Business, Communications, Medicine, Law, Pharmacy",39000,780,Yes,18714,32736,1932,78%,81%,86%,780,Yes,(215) 204-7000,veterans@temple.edu,https://www.temple.edu,Large urban university
Drexel University,Private,Pennsylvania,Philadelphia,"Engineering, Business, Design, Nursing, Health Sciences",24000,650,Yes,58965,58965,1932,73%,76%,87%,650,Yes,(215) 895-2000,veterans@drexel.edu,https://www.drexel.edu,Co-op program
Rutgers University,Public,New Jersey,New Brunswick,"Engineering, Pharmacy, Business, Public Affairs, Nursing",50000,760,Yes,15804,33005,2373,84%,86%,90%,760,Yes,(848) 932-1766,veterans@rutgers.edu,https://www.rutgers.edu,State university of New Jersey
Rowan University,Public,New Jersey,Glassboro,"Engineering, Business, Education, Health Professions, Communication",19000,740,Yes,14716,23416,2025,72%,75%,83%,740,Yes,(856) 256-4000,veterans@rowan.edu,https://www.rowan.edu,Growing engineering focus
Montclair State University,Public,New Jersey,Montclair,"Education, Business, Arts, Sciences, Communication",21000,720,Yes,13934,23450,2373,58%,62%,77%,720,Yes,(973) 655-4000,veterans@montclair.edu,https://www.montclair.edu,Second largest NJ university
University of Connecticut,Public,Connecticut,Storrs,"Engineering, Business, Agriculture, Pharmacy, Education",32000,700,Yes,19346,43034,1554,84%,86%,90%,700,Yes,(860) 486-2000,veterans@uconn.edu,https://www.uconn.edu,Flagship Connecticut university
Central Connecticut State University,Public,Connecticut,New Britain,"Business, Education, Engineering Tech, Criminal Justice",9000,680,Yes,12176,26042,1554,52%,56%,74%,680,Yes,(860) 832-3200,veterans@ccsu.edu,https://www.ccsu.edu,Connecticut State system
University of Massachusetts Amherst,Public,Massachusetts,Amherst,"Engineering, Business, Computer Science, Nursing, Sciences",32000,660,Yes,16952,37405,1554,82%,84%,89%,660,Yes,(413) 545-0111,veterans@umass.edu,https://www.umass.edu,Flagship Massachusetts university
Boston University,Private,Massachusetts,Boston,"Engineering, Business, Communication, Medicine, Law",34000,580,Yes,62360,62360,2973,88%,90%,93%,580,Yes,(617) 353-2000,veterans@bu.edu,https://www.bu.edu,Large private research university
University of Rhode Island,Public,Rhode Island,Kingston,"Engineering, Pharmacy, Oceanography, Business, Nursing",17000,640,Yes,14938,33284,1554,70%,73%,82%,640,Yes,(401) 874-1000,veterans@uri.edu,https://www.uri.edu,Sea-grant university
University of New Hampshire,Public,New Hampshire,Durham,"Engineering, Business, Marine Sciences, Health, Liberal Arts",15000,620,Yes,18499,36170,1554,78%,80%,86%,620,Yes,(603) 862-1234,veterans@unh.edu,https://www.unh.edu,State flagship
University of Vermont,Public,Vermont,Burlington,"Business, Engineering, Agriculture, Medicine, Environment",13000,600,Yes,18890,43890,1554,76%,79%,85%,600,Yes,(802) 656-3131,veterans@uvm.edu,https://www.uvm.edu,Public ivy land-grant
University of Maine,Public,Maine,Orono,"Engineering, Business, Marine Sciences, Forestry, Education",11000,580,Yes,11640,33240,1554,59%,63%,77%,580,Yes,(207) 581-1110,veterans@maine.edu,https://umaine.edu,Flagship sea-grant land-grant
University of Delaware,Public,Delaware,Newark,"Engineering, Business, Chemistry, Education, Nursing",24000,560,Yes,15050,37230,1785,82%,84%,89%,560,Yes,(302) 831-2000,veterans@udel.edu,https://www.udel.edu,Research extensive university
Towson University,Public,Maryland,Towson,"Business, Education, Fine Arts, Health Professions, Liberal Arts",19000,540,Yes,10198,24470,2373,73%,76%,83%,540,Yes,(410) 704-2000,veterans@towson.edu,https://www.towson.edu,Largest Maryland university
University of Maryland College Park,Public,Maryland,College Park,"Engineering, Business, Computer Science, Journalism, Public Policy",40000,1400,Yes,11011,38636,2373,88%,90%,93%,1400,Yes,(301) 405-1000,veterans@umd.edu,https://www.umd.edu,Flagship research university
Virginia Commonwealth University,Public,Virginia,Richmond,"Arts, Business, Health Sciences, Engineering, Medicine",29000,1350,Yes,14710,36048,1710,67%,70%,81%,1350,Yes,(804) 828-0100,veterans@vcu.edu,https://www.vcu.edu,Arts and medical focus
James Madison University,Public,Virginia,Harrisonburg,"Business, Education, Health Sciences, Visual Arts, Engineering",22000,1300,Yes,12330,29502,1710,84%,86%,91%,1300,Yes,(540) 568-6211,veterans@jmu.edu,https://www.jmu.edu,Master's university
Christopher Newport University,Public,Virginia,Newport News,"Business, Biology, Engineering, Education, Computer Science",5000,520,Yes,14526,29070,1710,82%,85%,89%,520,Yes,(757) 594-7000,veterans@cnu.edu,https://www.cnu.edu,Growing public university
